"Notes"	"County"	"County Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Alameda County, CA"	"06001"	"15-19 years"	"15-19"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	66	278340	23.71	18.34	30.17
	"Alameda County, CA"	"06001"	"15-19 years"	"15-19"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	145	122447	118.42	99.14	137.69
	"Alameda County, CA"	"06001"	"15-19 years"	"15-19"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	82	254203	32.26	25.66	40.04
	"Alameda County, CA"	"06001"	"20-24 years"	"20-24"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	3708	Suppressed	Suppressed	Suppressed
	"Alameda County, CA"	"06001"	"20-24 years"	"20-24"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	115	308289	37.30	30.48	44.12
	"Alameda County, CA"	"06001"	"20-24 years"	"20-24"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	250	136976	182.51	159.89	205.14
	"Alameda County, CA"	"06001"	"20-24 years"	"20-24"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	183	292124	62.64	53.57	71.72
	"Alameda County, CA"	"06001"	"25-29 years"	"25-29"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	4433	Suppressed	Suppressed	Suppressed
	"Alameda County, CA"	"06001"	"25-29 years"	"25-29"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	139	408823	34.00	28.35	39.65
	"Alameda County, CA"	"06001"	"25-29 years"	"25-29"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	245	149851	163.50	143.02	183.97
	"Alameda County, CA"	"06001"	"25-29 years"	"25-29"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	257	405431	63.39	55.64	71.14
	"Alameda County, CA"	"06001"	"30-34 years"	"30-34"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	4464	Suppressed	Suppressed	Suppressed
	"Alameda County, CA"	"06001"	"30-34 years"	"30-34"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	181	456865	39.62	33.85	45.39
	"Alameda County, CA"	"06001"	"30-34 years"	"30-34"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	304	139340	218.17	193.65	242.70
	"Alameda County, CA"	"06001"	"30-34 years"	"30-34"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	314	420370	74.70	66.43	82.96
	"Alameda County, CA"	"06001"	"35-39 years"	"35-39"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	10	4102	Unreliable	116.90	448.33
	"Alameda County, CA"	"06001"	"35-39 years"	"35-39"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	212	451248	46.98	40.66	53.31
	"Alameda County, CA"	"06001"	"35-39 years"	"35-39"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	349	129272	269.97	241.65	298.30
	"Alameda County, CA"	"06001"	"35-39 years"	"35-39"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	346	375943	92.04	82.34	101.73
	"Alameda County, CA"	"06001"	"40-44 years"	"40-44"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	12	3742	Unreliable	165.70	560.17
	"Alameda County, CA"	"06001"	"40-44 years"	"40-44"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	300	415719	72.16	64.00	80.33
	"Alameda County, CA"	"06001"	"40-44 years"	"40-44"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	426	124516	342.12	309.64	374.61
	"Alameda County, CA"	"06001"	"40-44 years"	"40-44"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	499	361935	137.87	125.77	149.97
	"Alameda County, CA"	"06001"	"45-49 years"	"45-49"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	18	4111	Unreliable	259.50	691.99
	"Alameda County, CA"	"06001"	"45-49 years"	"45-49"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	463	371360	124.68	113.32	136.03
	"Alameda County, CA"	"06001"	"45-49 years"	"45-49"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	655	127530	513.60	474.27	552.94
	"Alameda County, CA"	"06001"	"45-49 years"	"45-49"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	850	390193	217.84	203.20	232.49
	"Alameda County, CA"	"06001"	"50-54 years"	"50-54"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	29	4585	632.50	423.60	908.37
	"Alameda County, CA"	"06001"	"50-54 years"	"50-54"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	616	337247	182.66	168.23	197.08
	"Alameda County, CA"	"06001"	"50-54 years"	"50-54"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	986	135064	730.02	684.46	775.59
	"Alameda County, CA"	"06001"	"50-54 years"	"50-54"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	1428	425592	335.53	318.13	352.94
	"Alameda County, CA"	"06001"	"55-59 years"	"55-59"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	39	4231	921.77	655.47	1260.08
	"Alameda County, CA"	"06001"	"55-59 years"	"55-59"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	933	312737	298.33	279.19	317.48
	"Alameda County, CA"	"06001"	"55-59 years"	"55-59"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1466	134503	1089.94	1034.14	1145.73
	"Alameda County, CA"	"06001"	"55-59 years"	"55-59"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	2348	436646	537.74	515.98	559.49
	"Alameda County, CA"	"06001"	"60-64 years "	"60-64"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	43	3539	1215.03	879.32	1636.64
	"Alameda County, CA"	"06001"	"60-64 years "	"60-64"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	1179	273828	430.56	405.98	455.14
	"Alameda County, CA"	"06001"	"60-64 years "	"60-64"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1985	118099	1680.79	1606.85	1754.74
	"Alameda County, CA"	"06001"	"60-64 years "	"60-64"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	3188	398788	799.42	771.67	827.17
	"Alameda County, CA"	"06001"	"65-69 years"	"65-69"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	40	2767	1445.61	1032.76	1968.51
	"Alameda County, CA"	"06001"	"65-69 years"	"65-69"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	1317	213531	616.77	583.46	650.08
	"Alameda County, CA"	"06001"	"65-69 years"	"65-69"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	2017	89523	2253.05	2154.72	2351.38
	"Alameda County, CA"	"06001"	"65-69 years"	"65-69"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	3957	331795	1192.60	1155.44	1229.76
	"Alameda County, CA"	"06001"	"70-74 years"	"70-74"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	37	1889	1958.71	1379.11	2699.82
	"Alameda County, CA"	"06001"	"70-74 years"	"70-74"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	1592	147235	1081.26	1028.15	1134.38
	"Alameda County, CA"	"06001"	"70-74 years"	"70-74"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1822	62323	2923.48	2789.24	3057.72
	"Alameda County, CA"	"06001"	"70-74 years"	"70-74"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	4497	241297	1863.68	1809.21	1918.15
	"Alameda County, CA"	"06001"	"75-79 years"	"75-79"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	35	1172	2986.35	2080.11	4153.29
	"Alameda County, CA"	"06001"	"75-79 years"	"75-79"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	1933	105838	1826.38	1744.96	1907.80
	"Alameda County, CA"	"06001"	"75-79 years"	"75-79"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1824	42099	4332.64	4133.81	4531.48
	"Alameda County, CA"	"06001"	"75-79 years"	"75-79"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	4978	160193	3107.50	3021.18	3193.83
	"Alameda County, CA"	"06001"	"80-84 years"	"80-84"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	26	644	4037.27	2637.26	5915.52
	"Alameda County, CA"	"06001"	"80-84 years"	"80-84"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	2571	77718	3308.11	3180.24	3435.99
	"Alameda County, CA"	"06001"	"80-84 years"	"80-84"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1831	27974	6545.36	6245.55	6845.17
	"Alameda County, CA"	"06001"	"80-84 years"	"80-84"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	6309	113813	5543.30	5406.52	5680.09
	"Alameda County, CA"	"06001"	"85-89 years"	"85-89"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	48	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"85-89 years"	"85-89"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	3023	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"85-89 years"	"85-89"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1723	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"85-89 years"	"85-89"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	7989	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"90-94 years"	"90-94"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	21	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"90-94 years"	"90-94"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	2491	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"90-94 years"	"90-94"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1556	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"90-94 years"	"90-94"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	7713	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"95-99 years"	"95-99"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"95-99 years"	"95-99"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	1189	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"95-99 years"	"95-99"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	736	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"95-99 years"	"95-99"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	3612	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"100+ years"	"100+"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"100+ years"	"100+"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	304	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"100+ years"	"100+"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	211	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"100+ years"	"100+"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	869	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	487	Suppressed	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	58	19554	296.61	225.23	383.44
	"Contra Costa County, CA"	"06013"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	101	13976	722.67	581.73	863.61
	"Contra Costa County, CA"	"06013"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	131	42139	310.88	257.64	364.11
	"Contra Costa County, CA"	"06013"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	1900	Unreliable	0.00	0.00
	"Contra Costa County, CA"	"06013"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	11	87173	Unreliable	6.30	22.58
	"Contra Costa County, CA"	"06013"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	14	54133	Unreliable	14.14	43.39
	"Contra Costa County, CA"	"06013"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	23	189713	12.12	7.69	18.19
	"Contra Costa County, CA"	"06013"	"5-9 years"	"5-9"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	2637	Unreliable	0.00	0.00
	"Contra Costa County, CA"	"06013"	"5-9 years"	"5-9"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	127432	Suppressed	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	"5-9 years"	"5-9"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	11	73000	Unreliable	7.52	26.96
	"Contra Costa County, CA"	"06013"	"5-9 years"	"5-9"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	18	261503	Unreliable	4.08	10.88
	"Contra Costa County, CA"	"06013"	"10-14 years"	"10-14"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	2758	Unreliable	0.00	0.00
	"Contra Costa County, CA"	"06013"	"10-14 years"	"10-14"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	135575	Suppressed	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	"10-14 years"	"10-14"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	11	79879	Unreliable	6.87	24.64
	"Contra Costa County, CA"	"06013"	"10-14 years"	"10-14"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	21	285115	7.37	4.56	11.26
	"Contra Costa County, CA"	"06013"	"15-19 years"	"15-19"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2979	Suppressed	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	"15-19 years"	"15-19"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	21	118825	17.67	10.94	27.02
	"Contra Costa County, CA"	"06013"	"15-19 years"	"15-19"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	81	84249	96.14	76.35	119.50
	"Contra Costa County, CA"	"06013"	"15-19 years"	"15-19"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	93	281253	33.07	26.69	40.51
	"Contra Costa County, CA"	"06013"	"20-24 years"	"20-24"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2916	Suppressed	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	"20-24 years"	"20-24"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	48	109756	43.73	32.25	57.98
	"Contra Costa County, CA"	"06013"	"20-24 years"	"20-24"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	160	81051	197.41	166.82	228.00
	"Contra Costa County, CA"	"06013"	"20-24 years"	"20-24"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	189	247738	76.29	65.41	87.17
	"Contra Costa County, CA"	"06013"	"25-29 years"	"25-29"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2931	Suppressed	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	"25-29 years"	"25-29"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	59	127829	46.16	35.14	59.54
	"Contra Costa County, CA"	"06013"	"25-29 years"	"25-29"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	158	78671	200.84	169.52	232.15
	"Contra Costa County, CA"	"06013"	"25-29 years"	"25-29"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	236	263083	89.71	78.26	101.15
	"Contra Costa County, CA"	"06013"	"30-34 years"	"30-34"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2818	Suppressed	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	"30-34 years"	"30-34"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	74	141084	52.45	41.19	65.85
	"Contra Costa County, CA"	"06013"	"30-34 years"	"30-34"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	165	70588	233.75	198.08	269.42
	"Contra Costa County, CA"	"06013"	"30-34 years"	"30-34"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	293	282899	103.57	91.71	115.43
	"Contra Costa County, CA"	"06013"	"35-39 years"	"35-39"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2688	Suppressed	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	"35-39 years"	"35-39"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	83	159948	51.89	41.33	64.33
	"Contra Costa County, CA"	"06013"	"35-39 years"	"35-39"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	172	67407	255.17	217.03	293.30
	"Contra Costa County, CA"	"06013"	"35-39 years"	"35-39"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	337	295007	114.23	102.04	126.43
	"Contra Costa County, CA"	"06013"	"40-44 years"	"40-44"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	2797	Suppressed	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	"40-44 years"	"40-44"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	136	175166	77.64	64.59	90.69
	"Contra Costa County, CA"	"06013"	"40-44 years"	"40-44"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	241	68934	349.61	305.47	393.75
	"Contra Costa County, CA"	"06013"	"40-44 years"	"40-44"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	475	318916	148.94	135.55	162.34
	"Contra Costa County, CA"	"06013"	"45-49 years"	"45-49"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	19	3162	Unreliable	361.78	938.35
	"Contra Costa County, CA"	"06013"	"45-49 years"	"45-49"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	214	165490	129.31	111.99	146.64
	"Contra Costa County, CA"	"06013"	"45-49 years"	"45-49"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	355	73838	480.78	430.77	530.80
	"Contra Costa County, CA"	"06013"	"45-49 years"	"45-49"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	767	378930	202.41	188.09	216.74
	"Contra Costa County, CA"	"06013"	"50-54 years"	"50-54"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	16	3390	Unreliable	269.78	766.46
	"Contra Costa County, CA"	"06013"	"50-54 years"	"50-54"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	275	145765	188.66	166.36	210.96
	"Contra Costa County, CA"	"06013"	"50-54 years"	"50-54"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	469	77466	605.43	550.63	660.22
	"Contra Costa County, CA"	"06013"	"50-54 years"	"50-54"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	1472	434846	338.51	321.22	355.80
	"Contra Costa County, CA"	"06013"	"55-59 years"	"55-59"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	18	3286	Unreliable	324.65	865.73
	"Contra Costa County, CA"	"06013"	"55-59 years"	"55-59"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	348	131981	263.67	235.97	291.38
	"Contra Costa County, CA"	"06013"	"55-59 years"	"55-59"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	731	72737	1004.99	932.14	1077.85
	"Contra Costa County, CA"	"06013"	"55-59 years"	"55-59"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	2208	442934	498.49	477.70	519.29
	"Contra Costa County, CA"	"06013"	"60-64 years "	"60-64"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	24	2921	821.64	526.44	1222.53
	"Contra Costa County, CA"	"06013"	"60-64 years "	"60-64"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	491	118400	414.70	378.01	451.38
	"Contra Costa County, CA"	"06013"	"60-64 years "	"60-64"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	894	60993	1465.74	1369.66	1561.82
	"Contra Costa County, CA"	"06013"	"60-64 years "	"60-64"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	3003	402400	746.27	719.58	772.96
	"Contra Costa County, CA"	"06013"	"65-69 years"	"65-69"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	27	2232	1209.68	797.19	1760.02
	"Contra Costa County, CA"	"06013"	"65-69 years"	"65-69"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	639	94787	674.14	621.87	726.41
	"Contra Costa County, CA"	"06013"	"65-69 years"	"65-69"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	989	46597	2122.45	1990.17	2254.73
	"Contra Costa County, CA"	"06013"	"65-69 years"	"65-69"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	3800	344408	1103.34	1068.26	1138.42
