"Notes"	"County"	"County Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Contra Costa County, CA"	"06013"	"90-94 years"	"90-94"	"Hispanic or Latino"	"2135-2"	814	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"95-99 years"	"95-99"	"Hispanic or Latino"	"2135-2"	326	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"100+ years"	"100+"	"Hispanic or Latino"	"2135-2"	67	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Not Stated"	"NS"	"Hispanic or Latino"	"2135-2"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marin County, CA"	"06041"	"< 1 year"	"1"	"Hispanic or Latino"	"2135-2"	19	7372	Unreliable	155.17	402.48
	"Marin County, CA"	"06041"	"1-4 years"	"1-4"	"Hispanic or Latino"	"2135-2"	Suppressed	29892	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"5-9 years"	"5-9"	"Hispanic or Latino"	"2135-2"	Suppressed	37899	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"10-14 years"	"10-14"	"Hispanic or Latino"	"2135-2"	Suppressed	36024	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"15-19 years"	"15-19"	"Hispanic or Latino"	"2135-2"	14	31638	Unreliable	24.19	74.24
	"Marin County, CA"	"06041"	"20-24 years"	"20-24"	"Hispanic or Latino"	"2135-2"	19	29203	Unreliable	39.17	101.60
	"Marin County, CA"	"06041"	"25-29 years"	"25-29"	"Hispanic or Latino"	"2135-2"	19	30029	Unreliable	38.09	98.81
	"Marin County, CA"	"06041"	"30-34 years"	"30-34"	"Hispanic or Latino"	"2135-2"	17	33400	Unreliable	29.65	81.49
	"Marin County, CA"	"06041"	"35-39 years"	"35-39"	"Hispanic or Latino"	"2135-2"	27	35018	77.10	50.81	112.18
	"Marin County, CA"	"06041"	"40-44 years"	"40-44"	"Hispanic or Latino"	"2135-2"	27	34378	78.54	51.76	114.27
	"Marin County, CA"	"06041"	"45-49 years"	"45-49"	"Hispanic or Latino"	"2135-2"	46	30318	151.73	111.08	202.38
	"Marin County, CA"	"06041"	"50-54 years"	"50-54"	"Hispanic or Latino"	"2135-2"	48	24096	199.20	146.88	264.11
	"Marin County, CA"	"06041"	"55-59 years"	"55-59"	"Hispanic or Latino"	"2135-2"	58	17785	326.12	247.63	421.58
	"Marin County, CA"	"06041"	"60-64 years "	"60-64"	"Hispanic or Latino"	"2135-2"	36	13002	276.88	193.92	383.32
	"Marin County, CA"	"06041"	"65-69 years"	"65-69"	"Hispanic or Latino"	"2135-2"	70	8925	784.31	611.41	990.93
	"Marin County, CA"	"06041"	"70-74 years"	"70-74"	"Hispanic or Latino"	"2135-2"	60	5756	1042.39	795.46	1341.77
	"Marin County, CA"	"06041"	"75-79 years"	"75-79"	"Hispanic or Latino"	"2135-2"	76	3831	1983.82	1563.03	2483.04
	"Marin County, CA"	"06041"	"80-84 years"	"80-84"	"Hispanic or Latino"	"2135-2"	91	2716	3350.52	2697.63	4113.70
	"Marin County, CA"	"06041"	"85-89 years"	"85-89"	"Hispanic or Latino"	"2135-2"	93	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marin County, CA"	"06041"	"90-94 years"	"90-94"	"Hispanic or Latino"	"2135-2"	90	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marin County, CA"	"06041"	"95-99 years"	"95-99"	"Hispanic or Latino"	"2135-2"	51	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marin County, CA"	"06041"	"100+ years"	"100+"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marin County, CA"	"06041"	"Not Stated"	"NS"	"Hispanic or Latino"	"2135-2"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Napa County, CA"	"06055"	"< 1 year"	"1"	"Hispanic or Latino"	"2135-2"	22	8041	273.60	171.46	414.23
	"Napa County, CA"	"06055"	"1-4 years"	"1-4"	"Hispanic or Latino"	"2135-2"	Suppressed	31824	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"5-9 years"	"5-9"	"Hispanic or Latino"	"2135-2"	Suppressed	42841	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"10-14 years"	"10-14"	"Hispanic or Latino"	"2135-2"	Suppressed	43992	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"15-19 years"	"15-19"	"Hispanic or Latino"	"2135-2"	Suppressed	42517	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"20-24 years"	"20-24"	"Hispanic or Latino"	"2135-2"	26	40015	64.98	42.44	95.20
	"Napa County, CA"	"06055"	"25-29 years"	"25-29"	"Hispanic or Latino"	"2135-2"	20	37083	53.93	32.94	83.30
	"Napa County, CA"	"06055"	"30-34 years"	"30-34"	"Hispanic or Latino"	"2135-2"	27	37254	72.48	47.76	105.45
	"Napa County, CA"	"06055"	"35-39 years"	"35-39"	"Hispanic or Latino"	"2135-2"	29	36486	79.48	53.23	114.15
	"Napa County, CA"	"06055"	"40-44 years"	"40-44"	"Hispanic or Latino"	"2135-2"	40	34129	117.20	83.73	159.60
	"Napa County, CA"	"06055"	"45-49 years"	"45-49"	"Hispanic or Latino"	"2135-2"	40	30883	129.52	92.53	176.37
	"Napa County, CA"	"06055"	"50-54 years"	"50-54"	"Hispanic or Latino"	"2135-2"	68	25943	262.11	203.54	332.29
	"Napa County, CA"	"06055"	"55-59 years"	"55-59"	"Hispanic or Latino"	"2135-2"	78	20410	382.17	302.09	476.96
	"Napa County, CA"	"06055"	"60-64 years "	"60-64"	"Hispanic or Latino"	"2135-2"	75	14950	501.67	394.60	628.85
	"Napa County, CA"	"06055"	"65-69 years"	"65-69"	"Hispanic or Latino"	"2135-2"	92	10268	895.99	722.29	1098.85
	"Napa County, CA"	"06055"	"70-74 years"	"70-74"	"Hispanic or Latino"	"2135-2"	78	6639	1174.88	928.69	1466.30
	"Napa County, CA"	"06055"	"75-79 years"	"75-79"	"Hispanic or Latino"	"2135-2"	105	4646	2260.01	1827.72	2692.29
	"Napa County, CA"	"06055"	"80-84 years"	"80-84"	"Hispanic or Latino"	"2135-2"	123	3143	3913.46	3221.84	4605.07
	"Napa County, CA"	"06055"	"85-89 years"	"85-89"	"Hispanic or Latino"	"2135-2"	106	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Napa County, CA"	"06055"	"90-94 years"	"90-94"	"Hispanic or Latino"	"2135-2"	92	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Napa County, CA"	"06055"	"95-99 years"	"95-99"	"Hispanic or Latino"	"2135-2"	49	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Napa County, CA"	"06055"	"100+ years"	"100+"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Napa County, CA"	"06055"	"Not Stated"	"NS"	"Hispanic or Latino"	"2135-2"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Francisco County, CA"	"06075"	"< 1 year"	"1"	"Hispanic or Latino"	"2135-2"	70	20053	349.07	272.12	441.04
	"San Francisco County, CA"	"06075"	"1-4 years"	"1-4"	"Hispanic or Latino"	"2135-2"	Suppressed	68993	Suppressed	Suppressed	Suppressed
	"San Francisco County, CA"	"06075"	"5-9 years"	"5-9"	"Hispanic or Latino"	"2135-2"	Suppressed	75838	Suppressed	Suppressed	Suppressed
	"San Francisco County, CA"	"06075"	"10-14 years"	"10-14"	"Hispanic or Latino"	"2135-2"	Suppressed	65771	Suppressed	Suppressed	Suppressed
	"San Francisco County, CA"	"06075"	"15-19 years"	"15-19"	"Hispanic or Latino"	"2135-2"	22	71214	30.89	19.36	46.77
	"San Francisco County, CA"	"06075"	"20-24 years"	"20-24"	"Hispanic or Latino"	"2135-2"	86	100793	85.32	68.25	105.37
	"San Francisco County, CA"	"06075"	"25-29 years"	"25-29"	"Hispanic or Latino"	"2135-2"	99	149307	66.31	53.89	80.73
	"San Francisco County, CA"	"06075"	"30-34 years"	"30-34"	"Hispanic or Latino"	"2135-2"	98	145700	67.26	54.61	81.97
	"San Francisco County, CA"	"06075"	"35-39 years"	"35-39"	"Hispanic or Latino"	"2135-2"	149	119401	124.79	104.75	144.83
	"San Francisco County, CA"	"06075"	"40-44 years"	"40-44"	"Hispanic or Latino"	"2135-2"	182	99430	183.04	156.45	209.64
	"San Francisco County, CA"	"06075"	"45-49 years"	"45-49"	"Hispanic or Latino"	"2135-2"	249	86741	287.06	251.41	322.72
	"San Francisco County, CA"	"06075"	"50-54 years"	"50-54"	"Hispanic or Latino"	"2135-2"	287	74369	385.91	341.27	430.56
	"San Francisco County, CA"	"06075"	"55-59 years"	"55-59"	"Hispanic or Latino"	"2135-2"	351	64257	546.24	489.10	603.39
	"San Francisco County, CA"	"06075"	"60-64 years "	"60-64"	"Hispanic or Latino"	"2135-2"	395	51413	768.29	692.52	844.06
	"San Francisco County, CA"	"06075"	"65-69 years"	"65-69"	"Hispanic or Latino"	"2135-2"	393	36994	1062.33	957.30	1167.37
	"San Francisco County, CA"	"06075"	"70-74 years"	"70-74"	"Hispanic or Latino"	"2135-2"	370	26537	1394.28	1252.21	1536.35
	"San Francisco County, CA"	"06075"	"75-79 years"	"75-79"	"Hispanic or Latino"	"2135-2"	461	20133	2289.77	2080.75	2498.80
	"San Francisco County, CA"	"06075"	"80-84 years"	"80-84"	"Hispanic or Latino"	"2135-2"	562	15809	3554.94	3261.02	3848.85
	"San Francisco County, CA"	"06075"	"85-89 years"	"85-89"	"Hispanic or Latino"	"2135-2"	711	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Francisco County, CA"	"06075"	"90-94 years"	"90-94"	"Hispanic or Latino"	"2135-2"	634	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Francisco County, CA"	"06075"	"95-99 years"	"95-99"	"Hispanic or Latino"	"2135-2"	304	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Francisco County, CA"	"06075"	"100+ years"	"100+"	"Hispanic or Latino"	"2135-2"	93	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Francisco County, CA"	"06075"	"Not Stated"	"NS"	"Hispanic or Latino"	"2135-2"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Mateo County, CA"	"06081"	"< 1 year"	"1"	"Hispanic or Latino"	"2135-2"	101	29999	336.68	271.02	402.34
	"San Mateo County, CA"	"06081"	"1-4 years"	"1-4"	"Hispanic or Latino"	"2135-2"	16	118850	Unreliable	7.69	21.86
	"San Mateo County, CA"	"06081"	"5-9 years"	"5-9"	"Hispanic or Latino"	"2135-2"	Suppressed	151989	Suppressed	Suppressed	Suppressed
	"San Mateo County, CA"	"06081"	"10-14 years"	"10-14"	"Hispanic or Latino"	"2135-2"	15	148286	Unreliable	5.66	16.68
	"San Mateo County, CA"	"06081"	"15-19 years"	"15-19"	"Hispanic or Latino"	"2135-2"	52	143225	36.31	27.12	47.61
	"San Mateo County, CA"	"06081"	"20-24 years"	"20-24"	"Hispanic or Latino"	"2135-2"	81	145786	55.56	44.12	69.06
	"San Mateo County, CA"	"06081"	"25-29 years"	"25-29"	"Hispanic or Latino"	"2135-2"	86	153817	55.91	44.72	69.05
	"San Mateo County, CA"	"06081"	"30-34 years"	"30-34"	"Hispanic or Latino"	"2135-2"	85	154235	55.11	44.02	68.15
	"San Mateo County, CA"	"06081"	"35-39 years"	"35-39"	"Hispanic or Latino"	"2135-2"	112	147996	75.68	61.66	89.69
	"San Mateo County, CA"	"06081"	"40-44 years"	"40-44"	"Hispanic or Latino"	"2135-2"	149	137255	108.56	91.13	125.99
	"San Mateo County, CA"	"06081"	"45-49 years"	"45-49"	"Hispanic or Latino"	"2135-2"	205	126543	162.00	139.82	184.18
	"San Mateo County, CA"	"06081"	"50-54 years"	"50-54"	"Hispanic or Latino"	"2135-2"	248	111972	221.48	193.92	249.05
	"San Mateo County, CA"	"06081"	"55-59 years"	"55-59"	"Hispanic or Latino"	"2135-2"	316	93138	339.28	301.87	376.69
	"San Mateo County, CA"	"06081"	"60-64 years "	"60-64"	"Hispanic or Latino"	"2135-2"	333	69574	478.63	427.22	530.04
	"San Mateo County, CA"	"06081"	"65-69 years"	"65-69"	"Hispanic or Latino"	"2135-2"	387	47751	810.45	729.71	891.20
	"San Mateo County, CA"	"06081"	"70-74 years"	"70-74"	"Hispanic or Latino"	"2135-2"	391	33915	1152.88	1038.61	1267.16
	"San Mateo County, CA"	"06081"	"75-79 years"	"75-79"	"Hispanic or Latino"	"2135-2"	517	25279	2045.18	1868.88	2221.47
	"San Mateo County, CA"	"06081"	"80-84 years"	"80-84"	"Hispanic or Latino"	"2135-2"	608	18468	3292.18	3030.49	3553.87
	"San Mateo County, CA"	"06081"	"85-89 years"	"85-89"	"Hispanic or Latino"	"2135-2"	722	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Mateo County, CA"	"06081"	"90-94 years"	"90-94"	"Hispanic or Latino"	"2135-2"	607	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Mateo County, CA"	"06081"	"95-99 years"	"95-99"	"Hispanic or Latino"	"2135-2"	278	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Mateo County, CA"	"06081"	"100+ years"	"100+"	"Hispanic or Latino"	"2135-2"	92	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"San Mateo County, CA"	"06081"	"Not Stated"	"NS"	"Hispanic or Latino"	"2135-2"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Santa Clara County, CA"	"06085"	"< 1 year"	"1"	"Hispanic or Latino"	"2135-2"	271	87457	309.87	272.97	346.76
	"Santa Clara County, CA"	"06085"	"1-4 years"	"1-4"	"Hispanic or Latino"	"2135-2"	53	335907	15.78	11.82	20.64
	"Santa Clara County, CA"	"06085"	"5-9 years"	"5-9"	"Hispanic or Latino"	"2135-2"	30	431778	6.95	4.69	9.92
	"Santa Clara County, CA"	"06085"	"10-14 years"	"10-14"	"Hispanic or Latino"	"2135-2"	36	423711	8.50	5.95	11.76
	"Santa Clara County, CA"	"06085"	"15-19 years"	"15-19"	"Hispanic or Latino"	"2135-2"	160	407119	39.30	33.21	45.39
	"Santa Clara County, CA"	"06085"	"20-24 years"	"20-24"	"Hispanic or Latino"	"2135-2"	300	405832	73.92	65.56	82.29
	"Santa Clara County, CA"	"06085"	"25-29 years"	"25-29"	"Hispanic or Latino"	"2135-2"	234	412345	56.75	49.48	64.02
	"Santa Clara County, CA"	"06085"	"30-34 years"	"30-34"	"Hispanic or Latino"	"2135-2"	273	396552	68.84	60.68	77.01
	"Santa Clara County, CA"	"06085"	"35-39 years"	"35-39"	"Hispanic or Latino"	"2135-2"	376	380618	98.79	88.80	108.77
	"Santa Clara County, CA"	"06085"	"40-44 years"	"40-44"	"Hispanic or Latino"	"2135-2"	455	354975	128.18	116.40	139.96
	"Santa Clara County, CA"	"06085"	"45-49 years"	"45-49"	"Hispanic or Latino"	"2135-2"	588	314613	186.90	171.79	202.00
	"Santa Clara County, CA"	"06085"	"50-54 years"	"50-54"	"Hispanic or Latino"	"2135-2"	912	269956	337.83	315.91	359.76
	"Santa Clara County, CA"	"06085"	"55-59 years"	"55-59"	"Hispanic or Latino"	"2135-2"	1114	219022	508.62	478.76	538.49
	"Santa Clara County, CA"	"06085"	"60-64 years "	"60-64"	"Hispanic or Latino"	"2135-2"	1229	160394	766.24	723.40	809.08
	"Santa Clara County, CA"	"06085"	"65-69 years"	"65-69"	"Hispanic or Latino"	"2135-2"	1224	112575	1087.28	1026.36	1148.19
	"Santa Clara County, CA"	"06085"	"70-74 years"	"70-74"	"Hispanic or Latino"	"2135-2"	1283	79074	1622.53	1533.75	1711.31
	"Santa Clara County, CA"	"06085"	"75-79 years"	"75-79"	"Hispanic or Latino"	"2135-2"	1421	56904	2497.19	2367.35	2627.03
	"Santa Clara County, CA"	"06085"	"80-84 years"	"80-84"	"Hispanic or Latino"	"2135-2"	1832	40698	4501.45	4295.32	4707.58
	"Santa Clara County, CA"	"06085"	"85-89 years"	"85-89"	"Hispanic or Latino"	"2135-2"	1865	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Santa Clara County, CA"	"06085"	"90-94 years"	"90-94"	"Hispanic or Latino"	"2135-2"	1379	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Santa Clara County, CA"	"06085"	"95-99 years"	"95-99"	"Hispanic or Latino"	"2135-2"	575	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Santa Clara County, CA"	"06085"	"100+ years"	"100+"	"Hispanic or Latino"	"2135-2"	139	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Santa Clara County, CA"	"06085"	"Not Stated"	"NS"	"Hispanic or Latino"	"2135-2"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Solano County, CA"	"06095"	"< 1 year"	"1"	"Hispanic or Latino"	"2135-2"	91	19060	477.44	384.41	586.19
	"Solano County, CA"	"06095"	"1-4 years"	"1-4"	"Hispanic or Latino"	"2135-2"	13	83581	Unreliable	8.28	26.60
	"Solano County, CA"	"06095"	"5-9 years"	"5-9"	"Hispanic or Latino"	"2135-2"	Suppressed	106428	Suppressed	Suppressed	Suppressed
	"Solano County, CA"	"06095"	"10-14 years"	"10-14"	"Hispanic or Latino"	"2135-2"	Suppressed	104664	Suppressed	Suppressed	Suppressed
	"Solano County, CA"	"06095"	"15-19 years"	"15-19"	"Hispanic or Latino"	"2135-2"	54	98131	55.03	41.34	71.80
	"Solano County, CA"	"06095"	"20-24 years"	"20-24"	"Hispanic or Latino"	"2135-2"	78	96770	80.60	63.71	100.60
	"Solano County, CA"	"06095"	"25-29 years"	"25-29"	"Hispanic or Latino"	"2135-2"	68	94316	72.10	55.99	91.40
	"Solano County, CA"	"06095"	"30-34 years"	"30-34"	"Hispanic or Latino"	"2135-2"	64	89628	71.41	54.99	91.18
	"Solano County, CA"	"06095"	"35-39 years"	"35-39"	"Hispanic or Latino"	"2135-2"	88	83602	105.26	84.42	129.68
	"Solano County, CA"	"06095"	"40-44 years"	"40-44"	"Hispanic or Latino"	"2135-2"	106	75347	140.68	113.90	167.46
	"Solano County, CA"	"06095"	"45-49 years"	"45-49"	"Hispanic or Latino"	"2135-2"	119	68013	174.97	143.53	206.40
	"Solano County, CA"	"06095"	"50-54 years"	"50-54"	"Hispanic or Latino"	"2135-2"	189	59305	318.69	273.26	364.13
	"Solano County, CA"	"06095"	"55-59 years"	"55-59"	"Hispanic or Latino"	"2135-2"	245	48807	501.98	439.12	564.83
	"Solano County, CA"	"06095"	"60-64 years "	"60-64"	"Hispanic or Latino"	"2135-2"	267	37210	717.55	631.48	803.62
	"Solano County, CA"	"06095"	"65-69 years"	"65-69"	"Hispanic or Latino"	"2135-2"	254	26173	970.47	851.12	1089.81
	"Solano County, CA"	"06095"	"70-74 years"	"70-74"	"Hispanic or Latino"	"2135-2"	263	17704	1485.54	1306.00	1665.08
	"Solano County, CA"	"06095"	"75-79 years"	"75-79"	"Hispanic or Latino"	"2135-2"	294	11899	2470.80	2188.36	2753.23
	"Solano County, CA"	"06095"	"80-84 years"	"80-84"	"Hispanic or Latino"	"2135-2"	361	8288	4355.69	3906.37	4805.02
	"Solano County, CA"	"06095"	"85-89 years"	"85-89"	"Hispanic or Latino"	"2135-2"	351	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Solano County, CA"	"06095"	"90-94 years"	"90-94"	"Hispanic or Latino"	"2135-2"	277	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Solano County, CA"	"06095"	"95-99 years"	"95-99"	"Hispanic or Latino"	"2135-2"	96	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Solano County, CA"	"06095"	"100+ years"	"100+"	"Hispanic or Latino"	"2135-2"	27	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Solano County, CA"	"06095"	"Not Stated"	"NS"	"Hispanic or Latino"	"2135-2"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Sonoma County, CA"	"06097"	"< 1 year"	"1"	"Hispanic or Latino"	"2135-2"	67	21788	307.51	238.32	390.52
	"Sonoma County, CA"	"06097"	"1-4 years"	"1-4"	"Hispanic or Latino"	"2135-2"	Suppressed	91977	Suppressed	Suppressed	Suppressed
	"Sonoma County, CA"	"06097"	"5-9 years"	"5-9"	"Hispanic or Latino"	"2135-2"	12	125934	Unreliable	4.92	16.64
	"Sonoma County, CA"	"06097"	"10-14 years"	"10-14"	"Hispanic or Latino"	"2135-2"	11	124375	Unreliable	4.42	15.82
	"Sonoma County, CA"	"06097"	"15-19 years"	"15-19"	"Hispanic or Latino"	"2135-2"	40	115514	34.63	24.74	47.15
	"Sonoma County, CA"	"06097"	"20-24 years"	"20-24"	"Hispanic or Latino"	"2135-2"	76	109284	69.54	54.79	87.04
	"Sonoma County, CA"	"06097"	"25-29 years"	"25-29"	"Hispanic or Latino"	"2135-2"	52	107649	48.31	36.08	63.35
	"Sonoma County, CA"	"06097"	"30-34 years"	"30-34"	"Hispanic or Latino"	"2135-2"	66	106669	61.87	47.85	78.72
	"Sonoma County, CA"	"06097"	"35-39 years"	"35-39"	"Hispanic or Latino"	"2135-2"	94	102728	91.50	73.94	111.98
