"Notes"	"County"	"County Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Alameda County, CA"	"06001"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	320	865688	36.96	32.91	41.01
	"Alameda County, CA"	"06001"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	549	289191	189.84	173.96	205.72
	"Alameda County, CA"	"06001"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	571	825801	69.14	63.47	74.82
	"Alameda County, CA"	"06001"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	22	7844	280.47	175.77	424.63
	"Alameda County, CA"	"06001"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	512	866967	59.06	53.94	64.17
	"Alameda County, CA"	"06001"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	775	253788	305.37	283.87	326.87
	"Alameda County, CA"	"06001"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	845	737878	114.52	106.80	122.24
	"Alameda County, CA"	"06001"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	47	8696	540.48	397.12	718.72
	"Alameda County, CA"	"06001"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	1079	708607	152.27	143.18	161.36
	"Alameda County, CA"	"06001"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1641	262594	624.92	594.68	655.16
	"Alameda County, CA"	"06001"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	2278	815785	279.24	267.77	290.71
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	82	7770	1055.34	839.34	1309.95
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	2112	586565	360.06	344.71	375.42
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	3451	252602	1366.18	1320.60	1411.76
	"Alameda County, CA"	"06001"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	5536	835434	662.65	645.19	680.11
	"Alameda County, CA"	"06001"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	77	4656	1653.78	1305.13	2066.94
	"Alameda County, CA"	"06001"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	2909	360766	806.34	777.04	835.64
	"Alameda County, CA"	"06001"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	3839	151846	2528.22	2448.24	2608.20
	"Alameda County, CA"	"06001"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	8454	573092	1475.16	1443.71	1506.60
	"Alameda County, CA"	"06001"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	61	1816	3359.03	2569.39	4314.81
	"Alameda County, CA"	"06001"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	4504	183556	2453.75	2382.09	2525.41
	"Alameda County, CA"	"06001"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	3655	70073	5215.99	5046.89	5385.09
	"Alameda County, CA"	"06001"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	11287	274006	4119.25	4043.26	4195.25
	"Alameda County, CA"	"06001"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	79	746	10589.81	8384.06	13198.08
	"Alameda County, CA"	"06001"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	7007	80256	8730.81	8526.38	8935.24
	"Alameda County, CA"	"06001"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	4226	33886	12471.23	12095.22	12847.24
	"Alameda County, CA"	"06001"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	20183	146842	13744.71	13555.08	13934.33
	"Alameda County, CA"	"06001"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Alameda County, CA"	"06001"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	487	Suppressed	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	58	19554	296.61	225.23	383.44
	"Contra Costa County, CA"	"06013"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	101	13976	722.67	581.73	863.61
	"Contra Costa County, CA"	"06013"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	131	42139	310.88	257.64	364.11
	"Contra Costa County, CA"	"06013"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	1900	Unreliable	0.00	0.00
	"Contra Costa County, CA"	"06013"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	11	87173	Unreliable	6.30	22.58
	"Contra Costa County, CA"	"06013"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	14	54133	Unreliable	14.14	43.39
	"Contra Costa County, CA"	"06013"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	23	189713	12.12	7.69	18.19
	"Contra Costa County, CA"	"06013"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	5395	Unreliable	0.00	0.00
	"Contra Costa County, CA"	"06013"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	15	263007	Unreliable	3.19	9.41
	"Contra Costa County, CA"	"06013"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	22	152879	14.39	9.02	21.79
	"Contra Costa County, CA"	"06013"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	39	546618	7.13	5.07	9.75
	"Contra Costa County, CA"	"06013"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	5895	Suppressed	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	69	228581	30.19	23.49	38.20
	"Contra Costa County, CA"	"06013"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	241	165300	145.80	127.39	164.20
	"Contra Costa County, CA"	"06013"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	282	528991	53.31	47.09	59.53
	"Contra Costa County, CA"	"06013"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	5749	Suppressed	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	133	268913	49.46	41.05	57.86
	"Contra Costa County, CA"	"06013"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	323	149259	216.40	192.80	240.00
	"Contra Costa County, CA"	"06013"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	529	545982	96.89	88.63	105.15
	"Contra Costa County, CA"	"06013"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	5485	Suppressed	Suppressed	Suppressed
	"Contra Costa County, CA"	"06013"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	219	335114	65.35	56.70	74.01
	"Contra Costa County, CA"	"06013"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	413	136341	302.92	273.70	332.13
	"Contra Costa County, CA"	"06013"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	812	613923	132.26	123.17	141.36
	"Contra Costa County, CA"	"06013"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	35	6552	534.19	372.08	742.93
	"Contra Costa County, CA"	"06013"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	489	311255	157.11	143.18	171.03
	"Contra Costa County, CA"	"06013"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	824	151304	544.60	507.41	581.78
	"Contra Costa County, CA"	"06013"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	2239	813776	275.14	263.74	286.53
	"Contra Costa County, CA"	"06013"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	42	6207	676.66	487.67	914.64
	"Contra Costa County, CA"	"06013"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	839	250381	335.09	312.41	357.76
	"Contra Costa County, CA"	"06013"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1625	133730	1215.13	1156.05	1274.22
	"Contra Costa County, CA"	"06013"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	5211	845334	616.44	599.71	633.18
	"Contra Costa County, CA"	"06013"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	63	3743	1683.14	1293.38	2153.46
	"Contra Costa County, CA"	"06013"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	1363	162188	840.38	795.77	885.00
	"Contra Costa County, CA"	"06013"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1872	78404	2387.63	2279.47	2495.79
	"Contra Costa County, CA"	"06013"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	8491	609850	1392.31	1362.69	1421.92
	"Contra Costa County, CA"	"06013"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	58	1272	4559.75	3462.40	5894.52
	"Contra Costa County, CA"	"06013"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	1900	76623	2479.67	2368.17	2591.17
	"Contra Costa County, CA"	"06013"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1765	34732	5081.77	4844.69	5318.85
	"Contra Costa County, CA"	"06013"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	12272	310953	3946.58	3876.75	4016.40
	"Contra Costa County, CA"	"06013"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	67	542	12361.62	9580.13	15698.77
	"Contra Costa County, CA"	"06013"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	2562	29303	8743.13	8404.57	9081.69
	"Contra Costa County, CA"	"06013"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	1762	13758	12807.09	12209.09	13405.10
	"Contra Costa County, CA"	"06013"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	21783	157525	13828.28	13644.64	14011.92
	"Contra Costa County, CA"	"06013"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Contra Costa County, CA"	"06013"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marin County, CA"	"06041"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	66	Unreliable	0.00	0.00
	"Marin County, CA"	"06041"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	2037	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	770	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	23	12260	187.60	118.92	281.49
	"Marin County, CA"	"06041"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	290	Unreliable	0.00	0.00
	"Marin County, CA"	"06041"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	7620	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	0	3176	Unreliable	0.00	0.00
	"Marin County, CA"	"06041"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	Suppressed	60799	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	872	Unreliable	0.00	0.00
	"Marin County, CA"	"06041"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	21846	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	Suppressed	9505	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	12	201160	Unreliable	3.08	10.42
	"Marin County, CA"	"06041"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	966	Unreliable	0.00	0.00
	"Marin County, CA"	"06041"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	19729	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	12	10837	Unreliable	57.22	193.43
	"Marin County, CA"	"06041"	"15-24 years"	"15-24"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	78	165665	47.08	37.22	58.76
	"Marin County, CA"	"06041"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	857	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	11	22114	Unreliable	24.83	89.00
	"Marin County, CA"	"06041"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	13	10961	Unreliable	63.15	202.81
	"Marin County, CA"	"06041"	"25-34 years"	"25-34"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	100	134219	74.51	59.90	89.11
	"Marin County, CA"	"06041"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1134	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	14	29593	Unreliable	25.86	79.38
	"Marin County, CA"	"06041"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	25	12877	194.14	125.64	286.60
	"Marin County, CA"	"06041"	"35-44 years"	"35-44"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	195	212729	91.67	78.80	104.53
	"Marin County, CA"	"06041"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1381	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	38	30455	124.77	88.30	171.26
	"Marin County, CA"	"06041"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	46	13682	336.21	246.15	448.45
	"Marin County, CA"	"06041"	"45-54 years"	"45-54"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	550	310976	176.86	162.08	191.64
	"Marin County, CA"	"06041"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	1175	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	74	25028	295.67	232.17	371.19
	"Marin County, CA"	"06041"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	85	9422	902.14	720.60	1115.52
	"Marin County, CA"	"06041"	"55-64 years"	"55-64"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	1453	333784	435.31	412.93	457.69
	"Marin County, CA"	"06041"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	605	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	104	15472	672.18	542.99	801.37
	"Marin County, CA"	"06041"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	94	4619	2035.07	1644.54	2490.42
	"Marin County, CA"	"06041"	"65-74 years"	"65-74"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	2692	270730	994.35	956.79	1031.91
	"Marin County, CA"	"06041"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	189	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	172	7549	2278.45	1937.94	2618.96
	"Marin County, CA"	"06041"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	82	2146	3821.06	3039.01	4742.93
	"Marin County, CA"	"06041"	"75-84 years"	"75-84"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	4058	132509	3062.43	2968.21	3156.66
	"Marin County, CA"	"06041"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	Suppressed	126	Suppressed	Suppressed	Suppressed
	"Marin County, CA"	"06041"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	291	3864	7531.06	6665.76	8396.35
	"Marin County, CA"	"06041"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	102	820	12439.02	10025.00	14853.05
	"Marin County, CA"	"06041"	"85+ years"	"85+"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	8069	67773	11905.92	11646.14	12165.70
	"Marin County, CA"	"06041"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marin County, CA"	"06041"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marin County, CA"	"06041"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Marin County, CA"	"06041"	"Not Stated"	"NS"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Napa County, CA"	"06055"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	56	Unreliable	0.00	0.00
	"Napa County, CA"	"06055"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	Suppressed	983	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	0	360	Unreliable	0.00	0.00
	"Napa County, CA"	"06055"	"< 1 year"	"1"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	20	5089	393.00	240.06	606.96
	"Napa County, CA"	"06055"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	258	Unreliable	0.00	0.00
	"Napa County, CA"	"06055"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Asian or Pacific Islander"	"A-PI"	0	4384	Unreliable	0.00	0.00
	"Napa County, CA"	"06055"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"Black or African American"	"2054-5"	0	1424	Unreliable	0.00	0.00
	"Napa County, CA"	"06055"	"1-4 years"	"1-4"	"Not Hispanic or Latino"	"2186-2"	"White"	"2106-3"	Suppressed	21859	Suppressed	Suppressed	Suppressed
	"Napa County, CA"	"06055"	"5-14 years"	"5-14"	"Not Hispanic or Latino"	"2186-2"	"American Indian or Alaska Native"	"1002-5"	0	643	Unreliable	0.00	0.00
